EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:57.800,01:18.700,00:20.900,Report Phish button,4
P2,01:19.100,01:26.200,00:07.100,Report Phish button,4
L1,01:27.800,01:53.900,00:26.100,Delete button,6
P3,01:54.400,02:04.200,00:09.800,Report Phish button,2
L2,02:05.200,02:59.700,00:54.500,Delete button,6
P4,02:59.500,03:50.100,00:50.600,Report Phish button,6
L3,03:50.100,04:01.500,00:11.400,Delete button,6
L4,04:01.500,04:21.400,00:19.900,Delete button,3
P5,04:22.700,04:29.400,00:06.700,Report Phish button,1
L5,04:29.200,05:33.100,01:03.900,Delete button,6
P6,05:33.400,06:32.500,00:59.100,Report Phish button,9
L6,06:34.000,07:10.500,00:36.500,Delete button,2
P7,07:11.100,07:13.800,00:02.700,Report Phish button,1
L7,07:14.500,07:32.400,00:17.900,Delete button,6
P8,07:32.900,07:35.100,00:02.200,Report Phish button,3
P9,07:35.500,07:44.800,00:09.300,Report Phish button,3
L8,07:45.900,08:00.600,00:14.700,Delete button,3
P10,08:02.000,08:26.700,00:24.700,Report Phish button,1
L9,08:27.100,08:50.200,00:23.100,Delete button,3
L10,08:50.600,09:54.600,01:04.000,Report Phish button,10
