EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:10.300,00:35.000,00:24.700,Report Phish button,4
P2,00:38.000,00:47.000,00:09.000,Report Phish button,0
L1,00:49.200,01:34.800,00:45.600,Delete button,5
P3,01:35.100,01:51.600,00:16.500,Report Phish button,8
L2,01:53.400,02:25.500,00:32.100,Delete button,5
P4,02:26.600,02:45.000,00:18.400,Delete button,2
L3,02:46.100,03:04.000,00:17.900,Delete button,6
L4,03:05.600,03:23.800,00:18.200,Delete button,5
P5,03:25.300,03:29.500,00:04.200,Report Phish button,1
L5,03:30.200,03:37.100,00:06.900,Delete button,5
P6,03:39.000,03:58.600,00:19.600,Report Phish button,5
L6,03:59.800,04:08.400,00:08.600,Delete button,5
P7,04:09.300,04:17.800,00:08.500,Report Phish button,2
L7,04:18.200,04:21.900,00:03.700,Report Phish button,2
P8,04:22.300,04:30.600,00:08.300,Delete button,2
P9,04:32.200,04:45.600,00:13.400,Delete button,3
L8,04:46.800,04:58.100,00:11.300,Delete button,2
P10,04:58.600,05:38.600,00:40.000,Report Phish button,10
L9,05:39.800,05:52.300,00:12.500,Delete button,3
L10,05:53.900,06:00.000,00:06.100,Delete button,1
