Time, Type, Target, EmailID, Extra
6.34,mousemove,where to read the email,?,892:878
6.43,mousemove,other,?,836:84
6.75,mousemove,where to choose emails,?,445:145
8.03,click,Mark Egi Bandolin,P1,?
8.97,mousemove,where to read the email,?,678:227
26.55,mousemove,other,?,685:89
27.28,click,Report Phish button,?,
27.55,mousemove,where to choose emails,?,623:137
28.32,click,Scans,P2,?
29.09,mousemove,where to read the email,?,752:299
51.65,mousemove,other,?,708:80
52.26,click,Report Phish button,?,
52.42,mousemove,where to read the email,?,655:93
52.43,mousemove,other,?,648:104
52.54,mousemove,where to choose emails,?,608:139
52.94,click,Google,L1,?
60.67,mousemove,other,?,654:403
60.69,mousemove,where to read the email,?,675:427
73.51,mousemove,other,?,770:88
75.47,click,Junk button,?,
75.75,mousemove,where to read the email,?,742:109
75.81,mousemove,where to choose emails,?,650:185
76.38,click,Melita Ltd,P3,?
76.66,mousemove,where to read the email,?,731:484
108.12,mousemove,other,?,1006:80
108.45,mousemove,where to read the email,?,966:108
114.79,mousemove,other,?,707:90
115.44,click,Report Phish button,?,
115.56,mousemove,where to read the email,?,693:120
115.78,mousemove,other,?,654:602
115.79,mousemove,where to choose emails,?,649:602
116.12,mousemove,other,?,351:123
116.29,mousemove,where to choose emails,?,354:153
116.88,click,Microsoft OneDrive,L2,?
117.47,mousemove,where to read the email,?,689:289
151.31,mousemove,other,?,706:44:00
152.51,click,Junk button,?,
152.85,mousemove,where to read the email,?,747:106
152.91,mousemove,where to choose emails,?,639:205
153.93,click,Apple,P4,?
154.82,mousemove,where to read the email,?,657:204
189.95,mousemove,other,?,659:89
191.74,click,Report Phish button,?,
192.07,mousemove,sidebar,?,277:108
192.27,mousemove,where to choose emails,?,287:203
192.62,click,Dropbox,L3,?
193.25,mousemove,where to read the email,?,743:333
207.49,mousemove,other,?,696:66
208.32,click,Junk button,?,
208.51,mousemove,where to read the email,?,733:108
208.54,mousemove,where to choose emails,?,648:162
209.11,click,Melita,L4,?
209.42,mousemove,where to read the email,?,663:250
239.02,mousemove,other,?,727:87
239.66,click,Junk button,?,
239.97,mousemove,where to read the email,?,722:101
240.08,mousemove,other,?,654:181
240.09,mousemove,where to choose emails,?,651:185
240.8,mousemove,other,?,401:128
241.06,mousemove,where to choose emails,?,420:142
241.4,click,JIDESH GOVINDANKUTTY NAIR,P5,?
250.65,mousemove,where to read the email,?,671:340
258.05,mousemove,other,?,653:226
258.06,mousemove,where to choose emails,?,652:219
258.45,mousemove,other,?,613:135
259.05,click,Report Phish button,?,
259.32,mousemove,where to choose emails,?,617:141
259.92,click,Revolut,L5,?
260.61,mousemove,other,?,653:531
260.62,mousemove,where to read the email,?,666:531
291.99,mousemove,where to choose emails,?,645:324
292.45,mousemove,other,?,472:133
293.43,click,Junk button,?,
293.55,mousemove,where to read the email,?,762:97
293.67,mousemove,where to choose emails,?,644:180
294.26,click,Commissioner for Revenue,P6,?
294.89,mousemove,where to read the email,?,713:309
317.65,mousemove,other,?,706:90
318.83,click,Junk button,?,
322.49,mousemove,where to read the email,?,727:98
322.52,mousemove,where to choose emails,?,651:174
322.87,mousemove,other,?,550:122
323.05,mousemove,where to choose emails,?,562:149
323.41,click,PayPal,L6,?
323.91,mousemove,where to read the email,?,660:171
342.56,mousemove,other,?,913:68
343.26,mousemove,where to read the email,?,918:104
351.77,mousemove,other,?,693:89
352.39,click,Junk button,?,
352.56,mousemove,where to read the email,?,698:104
352.59,mousemove,other,?,596:134
352.6,mousemove,where to choose emails,?,554:146
353.01,click,Karen Abela,P7,?
354.91,mousemove,where to read the email,?,661:323
370.97,mousemove,other,?,700:90
371.82,mousemove,where to read the email,?,702:102
378.94,mousemove,where to choose emails,?,642:220
379,mousemove,other,?,374:136
379.34,mousemove,where to read the email,?,658:125
379.57,mousemove,other,?,752:86
379.91,click,Junk button,?,
380.02,mousemove,where to read the email,?,691:117
380.06,mousemove,where to choose emails,?,621:180
381.83,click,Mulvaney Shannon at Agenzija Zghazagh,L7,?
384.72,mousemove,where to read the email,?,721:232
406.44,mousemove,other,?,761:88
407.01,click,Junk button,?,
407.12,mousemove,where to read the email,?,685:119
407.14,mousemove,where to choose emails,?,627:151
407.32,mousemove,other,?,280:251
