EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:41.900,01:12.100,00:30.200,Delete button,5
P2,01:13.600,01:33.600,00:20.000,Report Phish button,6
L1,01:33.700,01:45.300,00:11.600,Delete button,4
P3,01:45.700,01:50.300,00:04.600,Report Phish button,4
L2,01:51.700,02:04.800,00:13.100,Delete button,2
P4,02:06.000,02:18.900,00:12.900,Delete button,4
L3,02:19.200,02:27.700,00:08.500,Delete button,4
L4,02:28.100,02:46.300,00:18.200,Delete button,8
P5,02:46.800,02:50.900,00:04.100,Report Phish button,3
L5,02:51.600,03:02.000,00:10.400,Delete button,7
P6,03:01.300,03:32.900,00:31.600,Delete button,5
L6,03:32.700,03:49.800,00:17.100,Delete button,7
P7,03:49.900,04:18.500,00:28.600,Report Phish button,7
L7,04:18.900,04:35.000,00:16.100,Delete button,7
P8,04:36.100,04:46.500,00:10.400,Report Phish button,7
P9,04:47.900,05:03.300,00:15.400,Delete button,2
L8,05:03.100,05:16.600,00:13.500,Delete button,4
P10,05:17.700,05:44.200,00:26.500,Report Phish button,4
L9,05:45.600,06:01.700,00:16.100,Delete button,12
L10,06:02.600,06:24.300,00:21.700,Delete button,2
