EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:04.800,00:16.100,00:11.300,Report Phish button,3
P2,00:17.500,00:29.300,00:11.800,Delete button,5
L1,00:30.500,00:43.500,00:13.000,Delete button,6
P3,00:44.400,00:55.900,00:11.500,Report Phish button,3
L2,00:56.200,01:02.600,00:06.400,Report Phish button,4
P4,01:02.500,01:13.300,00:10.800,Delete button,6
L3,01:14.400,01:24.700,00:10.300,Delete button,6
L4,01:25.700,01:32.200,00:06.500,Delete button,4
P5,01:33.300,01:38.700,00:05.400,Report Phish button,4
L5,01:39.900,01:49.000,00:09.100,Delete button,4
P6,01:49.600,02:20.000,00:30.400,Report Phish button,10
L6,02:21.800,02:27.900,00:06.100,Delete button,3
P7,02:28.800,02:32.900,00:04.100,Report Phish button,4
L7,02:32.100,02:45.900,00:13.800,Delete button,7
P8,02:45.600,02:52.000,00:06.400,Report Phish button,3
P9,02:53.700,03:02.300,00:08.600,Delete button,6
L8,03:03.600,03:10.100,00:06.500,Delete button,3
P10,03:10.400,03:28.200,00:17.800,Report Phish button,4
L9,03:29.000,03:33.200,00:04.200,Delete button,3
L10,03:34.600,03:37.600,00:03.000,Delete button,6
