EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:05.600,00:26.500,00:20.900,Report Phish button,2
P2,00:27.100,00:39.000,00:11.900,Report Phish button,1
L1,00:42.500,01:09.100,00:26.600,Delete button,3
P3,01:13.200,01:26.100,00:12.900,Report Phish button,4
L2,01:29.700,01:46.000,00:16.300,Delete button,3
P4,01:47.300,02:27.400,00:40.100,Delete button,5
L3,02:28.000,03:00.900,00:32.900,Report Phish button,5
L4,03:02.500,03:33.000,00:30.500,Report Phish button,3
P5,03:35.600,03:48.700,00:13.100,Report Phish button,2
L5,03:49.200,04:03.100,00:13.900,Report Phish button,1
P6,04:04.000,04:30.500,00:26.500,Report Phish button,5
L6,04:32.100,05:05.500,00:33.400,Report Phish button,2
P7,05:06.500,05:19.800,00:13.300,Delete button,1
L7,05:20.700,05:41.200,00:20.500,Report Phish button,3
P8,05:43.100,05:55.000,00:11.900,Report Phish button,2
P9,05:56.500,06:16.200,00:19.700,Report Phish button,1
L8,06:17.700,06:35.300,00:17.600,Delete button,1
P10,06:40.000,07:01.900,00:21.900,Delete button,2
L9,07:02.100,07:14.700,00:12.600,Delete button,2
L10,07:16.000,07:56.200,00:40.200,Report Phish button,11
