EmailID,TimeIn,TimeOut,TotalTime,Event,CountMoves
P1,00:43.100,01:03.600,00:20.500,Report Phish button,5
P2,01:05.400,01:18.700,00:13.300,Report Phish button,4
L1,01:20.600,01:56.800,00:36.200,Delete button,4
P3,01:57.400,02:21.600,00:24.200,Report Phish button,2
L2,02:23.000,03:01.300,00:38.300,Report Phish button,4
P4,03:02.000,04:00.800,00:58.800,Report Phish button,14
L3,04:00.200,04:08.300,00:08.100,Delete button,7
L4,04:09.400,04:17.500,00:08.100,Delete button,3
P5,04:18.600,04:22.300,00:03.700,Report Phish button,2
L5,04:23.600,04:38.000,00:14.400,Delete button,3
P6,04:38.200,05:31.400,00:53.200,Delete button,3
L6,05:32.900,05:42.000,00:09.100,Delete button,1
P7,05:42.000,05:51.000,00:09.000,Report Phish button,5
L7,05:52.500,06:19.800,00:27.300,Report Phish button,3
P8,06:19.500,06:30.000,00:10.500,Report Phish button,4
P9,06:32.600,06:43.800,00:11.200,Delete button,3
L8,06:44.600,07:03.200,00:18.600,Delete button,3
P10,07:04.200,07:44.900,00:40.700,Report Phish button,15
L9,07:45.400,07:54.600,00:09.200,Delete button,5
L10,07:55.600,08:13.200,00:17.600,Delete button,6
