Time, Type, Target, EmailID, Extra
00:01.3,mousemove,where to choose emails,?,389:148
00:01.5,mousemove,other,?,180:13:00
00:09.6,mousemove,other,?,638:312
00:09.9,mousemove,where to read the email,?,666:329
00:15.1,mousemove,where to choose emails,?,635:318
00:15.6,mousemove,other,?,648:325
00:16.8,click,Mark Egi Bandolin,P1,?
00:17.9,mousemove,where to read the email,?,680:241
00:24.4,mousemove,other,?,755:86
00:30.0,click,Report Phish button,?,
00:30.2,mousemove,where to choose emails,?,562:138
00:30.9,click,Scans,P2,?
00:31.6,mousemove,other,?,651:200
00:31.7,mousemove,where to read the email,?,693:217
00:49.2,mousemove,other,?,645:167
00:49.4,mousemove,where to choose emails,?,632:163
00:50.3,mousemove,other,?,587:134
00:50.4,click,Delete button,?,
00:51.4,mousemove,where to choose emails,?,534:143
00:51.9,click,Google,L1,?
00:52.4,mousemove,other,?,648:193
00:52.6,mousemove,where to read the email,?,687:200
00:53.2,mousemove,where to read the email,?,680:147
00:53.5,mousemove,other,?,644:197
00:53.7,mousemove,where to choose emails,?,628:193
00:53.7,mousemove,other,?,556:133
00:56.9,mousemove,other,?,639:125
00:57.5,click,Melita Ltd,P3,?
00:57.6,mousemove,where to choose emails,?,500:139
00:57.9,click,Delete button,?,
00:58.1,mousemove,where to read the email,?,660:190
00:58.7,mousemove,other,?,640:188
01:18.7,mousemove,other,?,646:235
01:18.9,mousemove,where to choose emails,?,624:235
01:19.7,click,Microsoft OneDrive,L2,?
01:20.2,mousemove,other,?,647:245
01:20.4,mousemove,where to read the email,?,688:245
01:25.0,mousemove,other,?,653:235
01:25.7,mousemove,where to read the email,?,664:170
01:25.9,mousemove,where to choose emails,?,633:215
01:34.0,mousemove,other,?,648:112
01:34.2,click,Delete button,?,
01:34.9,mousemove,where to choose emails,?,539:142
01:35.7,click,Apple,P4,?
01:37.0,mousemove,where to read the email,?,656:257
01:37.9,mousemove,other,?,640:253
01:38.1,mousemove,other,?,642:437
01:38.4,mousemove,where to choose emails,?,635:444
01:39.9,click,JIDESH GOVINDANKUTTY NAIR,P5,?
01:40.7,mousemove,where to read the email,?,660:394
01:40.9,mousemove,other,?,639:438
01:44.0,mousemove,where to choose emails,?,632:154
01:44.5,click,Report Phish button,?,
01:44.7,mousemove,other,?,593:133
01:44.7,mousemove,other,?,654:165
01:45.5,mousemove,where to choose emails,?,596:156
01:46.3,click,Melita,L4,?
01:47.5,mousemove,other,?,644:368
01:47.7,mousemove,where to read the email,?,675:364
01:51.3,mousemove,other,?,652:194
01:51.5,mousemove,other,?,610:132
01:51.9,mousemove,where to choose emails,?,632:161
01:52.8,click,Delete button,?,
01:52.9,mousemove,where to choose emails,?,526:137
01:53.0,click,Revolut,L5,?
01:54.7,mousemove,other,?,568:135
01:55.5,click,Commissioner for Revenue,P6,?
01:55.6,click,Delete button,?,
01:55.9,mousemove,where to choose emails,?,521:160
01:57.7,mousemove,other,?,636:253
01:58.2,mousemove,where to read the email,?,672:261
01:59.2,mousemove,other,?,589:133
01:59.2,mousemove,where to choose emails,?,634:161
01:59.9,mousemove,other,?,652:174
02:00.4,click,Delete button,?,
02:00.5,mousemove,where to choose emails,?,516:143
02:01.4,click,PayPal,L6,?
02:02.7,mousemove,where to read the email,?,657:354
02:06.3,mousemove,other,?,651:200
